token_pair,seven_day_volume,thirty_day_volume,all_time_volume,break_1,fee_rate,all_time_fees,tokenA_fees,tokenB_fees,break_2,lps,tvl,tokenA_balance,tokenB_balance,tokenA_price,tokenB_price
<nil>,2.3868662427510732e+08,2.462727722636201e+09,8.323104868464138e+11,|,<nil>,8.744189918685807e+06,5.7406398742286766e+13,6.484532792500659e+13,|,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>
"ASSHO-USDC<a href=""https://solscan.io/address/HrcMFy1292h4mAPrTqBBvMsJrbzQohuRU82wHqFddGLT"" target=""blank""> (HrcM...) </a>",0,9.95231011264614e+09,9.95231011264614e+09,|,1e-06,9952.310112646175,476.7033973023298,9952.442056705875,|,<nil>,20.389004073816,1.675466000000000000,20.384601000000000000,<nil>,1.000216
"SOL-JITOS<a href=""https://solscan.io/address/Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp"" target=""blank""> (Hp53...) </a>",3.338968048434962e+08,1.6520190159284089e+09,9.929859433024809e+09,|,0.0001,992985.9433024295,6657.68039629359,5978.685845636172,|,2215,4.087775974988237e+07,1481.090195055000000000,174439.318725323000000000,197.63,232.66
"PERCY-USDC<a href=""https://solscan.io/address/8poxhwW1qFx6Erz6j9zPqNtUtMSAJqx5fPBgGfpSy83t"" target=""blank""> (8pox...) </a>",0,9.69506608967343e+09,9.69506608967343e+09,|,1e-06,9695.06608967343,201.42168920582105,9691.531791403597,|,<nil>,14.024247583304,0.248299000000000000,14.021219000000000000,<nil>,1.000216
"USDC-F6A89<a href=""https://solscan.io/address/DbUtMSTgbyZScyEopYnA6Ui6B7Wp9ZKZUMQma5hU77ru"" target=""blank""> (DbUt...) </a>",8.434644048167,91.52707395786702,9.668671450505447e+09,|,1e-06,9668.671450505452,9669.767730146314,1.4813767174672722e+06,|,<nil>,139.9433712404,139.913150000000000000,884480427.980689000000000000,1.000216,<nil>
"WSB-USDC<a href=""https://solscan.io/address/ke93bAEh2iRJe9vGL35gQfc3EFvRfzT3MMDAMPg8mNV"" target=""blank""> (ke93...) </a>",0,7.290606158007178e+08,9.62018068802925e+09,|,1e-06,9620.18068802923,1777.6287090798594,9615.90445162977,|,<nil>,0.0009001944,0.000906000000000000,0.000900000000000000,<nil>,1.000216
"SAN-USDC<a href=""https://solscan.io/address/5oG9xaMsJhfRZ8b2TnxiTBJ3Hn93j3h3uanH6SGsPeKA"" target=""blank""> (5oG9...) </a>",20099.773525289256,31169.434306528536,9.487898927335205e+09,|,0,0,0,0,|,1,625.169896536024,21682.119028000000000000,625.034889000000000000,<nil>,1.000216
"6P6XG-USDC<a href=""https://solscan.io/address/2oci5wkvZ1wWKgLUBa19dSV96tBxbJg55bMnNBKYcWrt"" target=""blank""> (2oci...) </a>",0,8.699712379345568e+09,8.699712379345568e+09,|,1e-06,8699.712379345583,0.042140760663999965,8694.45965322423,|,<nil>,130.47514549299999,0.001639000000000000,130.417375000000000000,18.06,1.000216
"SOL-USDT<a href=""https://solscan.io/address/FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC"" target=""blank""> (Fwew...) </a>",7.040762726330748e+07,7.278367078057445e+08,8.16250821104139e+09,|,0.0002,1.6325016422085112e+06,9630.348948366674,1.63134571365569e+06,|,3867,455035.95615901204,1681.096274054000000000,122633.994651000000000000,197.63,1.001361
"JLP-USDC<a href=""https://solscan.io/address/6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb"" target=""blank""> (6NUi...) </a>",8.051353515725355e+08,2.2377247504063253e+09,7.784335608703929e+09,|,0.0002,1.5568671217408096e+06,402973.77760627156,1.5563267758440012e+06,|,1820,1.1357389942376105e+07,1916334.556200000000000000,2905726.912521000000000000,4.41,1.000216
"USDC-DPL<a href=""https://solscan.io/address/2VijhcqxLJGCdW9wp7YFTEjbMWUBhmJTLi3eEtp2wQNP"" target=""blank""> (2Vij...) </a>",3.7490709515820004,7.389047610044873e+07,7.764161691359633e+09,|,1e-06,7764.161691359634,7763.477022785876,1632.871938439369,|,<nil>,5.01734851324,5.016265000000000000,150259.636031000000000000,1.000216,<nil>
"RPP-USDC<a href=""https://solscan.io/address/ABLZh4bMtC9DaZXC54TtrMaSJnqGYtbNERjKDtFC6BCf"" target=""blank""> (ABLZ...) </a>",3.18767183737,25.16974381334201,7.695328168687683e+09,|,1e-06,7695.328168687684,6578.6039172257515,7692.701368434742,|,<nil>,312.756064721184,5081873.315431000000000000,312.688524000000000000,<nil>,1.000216
"BBSS-USDC<a href=""https://solscan.io/address/FVSJeCG3kL2s4LJTe7wNRvsNqhBMkVZqj3M3B6JbhudV"" target=""blank""> (FVSJ...) </a>",0,7.680755744927683e+09,7.680755744927683e+09,|,0,0,0,0,|,1,92.337342558832,928734.289873000000000000,92.317402000000000000,<nil>,1.000216
"MMDII-USDC<a href=""https://solscan.io/address/6LJMsA1gDs3wmmHxkwfcmjtXp8jzAZqJfCw2xd5keEXG"" target=""blank""> (6LJM...) </a>",0,0,5.228558007077035e+09,|,1e-06,5228.558007077037,1408.727127826576,5226.052036780497,|,<nil>,0.000998215568,0.001004000000000000,0.000998000000000000,<nil>,1.000216
"YNE-USDC<a href=""https://solscan.io/address/3dFtCRsr6vTCmia4rUFVKwKCrKuwK77fi2YE6Z2oPJbE"" target=""blank""> (3dFt...) </a>",0,0,4.929602562128441e+09,|,0,0,0,0,|,1,0.000579125064,0.000019000000000000,0.000579000000000000,<nil>,1.000216
"JUPYI-SOL<a href=""https://solscan.io/address/C1MgLojNLWBKADvu9BHdtgzz1oZX4dZ5zGdGcgvvW8Wz"" target=""blank""> (C1Mg...) </a>",3.93951956207594e+08,1.0483471267082026e+09,4.809410385922316e+09,|,0.0005,2.4047051929610297e+06,2.411097041117514e+06,13402.63110999013,|,8408,4.218934265045086e+06,2734799.847697000000000000,9123.668129252000000000,0.883364,197.63
"SOL-$WIF<a href=""https://solscan.io/address/D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1"" target=""blank""> (D6Nd...) </a>",4.811931263573062e+07,1.590078592390732e+08,4.610568541400131e+09,|,0.0004,1.8442274165595605e+06,11022.478375977249,847965.574576579,|,4120,681766.0294492906,1075.154150742000000000,629288.802791000000000000,197.63,0.745736
"SOL-JLP<a href=""https://solscan.io/address/6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd"" target=""blank""> (6a3m...) </a>",4.1342237440631974e+08,1.3236510772339582e+09,4.456651367007233e+09,|,0.0004,1.7826605468028018e+06,9039.841009112266,454729.2976247367,|,3948,5.586800591567249e+06,21415.543778823000000000,307130.765206000000000000,197.63,4.41
"SOL-POPCA<a href=""https://solscan.io/address/AHTTzwf3GmVMJdxWM8v2MSxyjZj8rQR6hyAC3g9477Yj"" target=""blank""> (AHTT...) </a>",4.996593440477487e+06,7.140104611243613e+07,4.000831796081152e+09,|,0.0005,2.000415898040209e+06,11727.321207135563,1.93384965666916e+06,|,5082,131428.38624592416,114.253965422000000000,512196.312976497000000000,197.63,0.212513
"EDWAR-USDC<a href=""https://solscan.io/address/73gcSrRZ6WUvX2m1MqW1MbTDTFHcXbzr9XXqohzCdBgk"" target=""blank""> (73gc...) </a>",0,0,3.909578218618788e+09,|,1e-06,3909.578218618788,200.7373713889603,3909.1469595419494,|,<nil>,0.000602130032,0.000656000000000000,0.000602000000000000,<nil>,1.000216
"FARTC-USDC<a href=""https://solscan.io/address/6pvKh3hVvBqwKxUWoAh5ySnkyNkHxRrpkmYMhBcELytj"" target=""blank""> (6pvK...) </a>",0,0,3.8042082052682347e+09,|,1e-06,3804.208205268238,0.03208198634699995,3803.8742836964834,|,<nil>,0.002325545354,0.001394000000000000,0.001426000000000000,0.645077,1.000216
"USDC-HRW8M<a href=""https://solscan.io/address/CEdHnoPPvLJucrcfyV9JDhYPrpYvCVpk597wkwkcBxdC"" target=""blank""> (CEdH...) </a>",0,2.926134467448662e+09,3.615531620346725e+09,|,1e-06,3615.531620346732,3614.3947649780193,242.22870356984168,|,<nil>,0.0007261568159999999,0.000726000000000000,0.003155303000000000,1.000216,<nil>
<nil>,5.964976386160697e+07,3.506515966082559e+09,3.506515966082559e+09,|,<nil>,5.610425545731992e+06,2.8822704135651314e+06,2.887320236394645e+06,|,4468,<nil>,<nil>,<nil>,<nil>,<nil>
"SOL-WETH<a href=""https://solscan.io/address/HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF"" target=""blank""> (Hktf...) </a>",2.5992388472093284e+08,1.1956622298562536e+09,3.4591115740428376e+09,|,0.0005,1.7295557870212574e+06,9635.945013379926,536.4479747442093,|,3661,6.101097200872646e+06,13292.153364320000000000,1328.564245800000000000,197.63,2614.98
"EARL-USDC<a href=""https://solscan.io/address/BVdkjJ2PbTqm2DBFcT5fm58DZHkTuB6Sno2Tv5Ajqtfw"" target=""blank""> (BVdk...) </a>",0,3.3783237258823543e+09,3.3783237258823543e+09,|,1e-06,3378.3237258823497,125.29176098979119,3376.3330994671724,|,<nil>,38.616981466672,1.374099000000000000,38.608642000000000000,<nil>,1.000216
"TP-USDC<a href=""https://solscan.io/address/Ar6pgt9VVRWHLT3i58Ph6DqVPJDyTJGbEqqVETegVFBo"" target=""blank""> (Ar6p...) </a>",0,3.2907842631768317e+09,3.2907842631768317e+09,|,1e-06,3290.7842631768353,12.671255487076003,3291.4244795001805,|,<nil>,0.000438094608,0.000465000000000000,0.000438000000000000,<nil>,1.000216
"USDC-NUKED<a href=""https://solscan.io/address/BQeXvMMRWWjfY57AgXVoR4FHWSSfpNEfUXCmfT1nFW2x"" target=""blank""> (BQeX...) </a>",5.134148179885999,3.1971714953581004e+09,3.1971714953581004e+09,|,1e-06,3197.171495358099,3196.225674274502,4938.1903616370155,|,<nil>,127.388448962824,127.360939000000000000,6070185.736439000000000000,1.000216,<nil>
"PURBY-USDC<a href=""https://solscan.io/address/HnCdv3T6acHvwKRCnW8PwzQSNdMQuD8VAcCUz2Cm6JTV"" target=""blank""> (HnCd...) </a>",9.148270115040999,15354.516709134488,3.138800722494313e+09,|,1e-06,3138.800722494316,532.4971409665317,3137.8822491372625,|,<nil>,156.105340471864,1193693.634830519000000000,156.071629000000000000,<nil>,1.000216
"LLM-USDC<a href=""https://solscan.io/address/41uPwcrSWgjMVsRjinzGS1zUpQnxfxwYaMks3peKUBys"" target=""blank""> (41uP...) </a>",45.722241525672004,2.9656974081674232e+09,2.9656974081674232e+09,|,1e-06,2965.697408167431,28.76118659419697,2966.3588821522117,|,<nil>,73.124370453064,95999.121631000000000000,73.108579000000000000,<nil>,1.000216
