token_pair,token_a_mint,token_b_mint,one_day_volume,seven_day_volume,thirty_day_volume,ninety_day_volume,usd_liquidity,seven_day_volume_liquidity_ratio,split,projects,pool_ids
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/6HgJHzGpq3fSLmkepsaC8F3VtpUWfXcG4hmUaf4Vpump' target='_blank'>REGEN</a>,So11111111111111111111111111111111111111112,6HgJHzGpq3fSLmkepsaC8F3VtpUWfXcG4hmUaf4Vpump,763074.7444115574,6.1919798879620535e+06,1.994075391511669e+08,2.0817251777379885e+08,<nil>,<nil>,||,[pumpdotfun raydium meteora],[HmrPQDxL9GZw9txHpVT9Z7HtcFYk61hqkki3iiXK2t1o 9Dp3FQeNHe8C83EZ9beAdpp1vSct8wUmsLBqDJfKsWGB 5hq76hZ5FKEqH6DnVruHcdg2jGerEe6rMXs31MYKMnhY 46mhjgDANCp1WM3aRMnMqJRHMiu4x8yJdoo83TgosC1b ABcrckEJSQxoiC7V1Gk7xG7UJp5JWrjxc5HYYEyPpB4Q S7xNttK8GGBCeLcsDkm4EnjMs1s7Nx6CDHgHBJzx3Tp C8hA5ZypjN1tocSuXeLNFLetDddCCXGzBnzmhZGHmCJb J6in5jFViaB2BQkZz5LshXgad48srgWAYYo7tumUkP3V H1cDvtNqc3PgHaVZ2yqCmYLj1vFLGKRP7QHkMW5xMqfk 4tQUxyPkNhpZMP3UL9gzzAr6orNLp95yzG5Qqh7L2LaA 6MKPFaq3oBjp5tktaK2Kw6rXJLa1REzsLt9hWravhyM1 98SZVQuXn7YNaf5EX4fsHiYoMrhSLUQCJsjD8ewBddkd]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/HyCESWny41JVCRGaTKEgBiC4BZnC3s3BFbMFp8Atpump' target='_blank'>EGYPT</a>,So11111111111111111111111111111111111111112,HyCESWny41JVCRGaTKEgBiC4BZnC3s3BFbMFp8Atpump,762871.6242265935,762871.6242265935,762871.6242265935,762871.6242265935,<nil>,<nil>,||,[pumpdotfun raydium],[7tMfpYGBVjo6aSz8iMvzyzrqnBsnz2u8yismTRHHTvBX CeiFuddejq5uzxo8MQhGhdnZEFmGfGVLfRpAc95cL3GG]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/HS99p18ovjEgnb1uECAmaDMYqM7rTNpo8QZAnwkZDWKH' target='_blank'>GAMER</a>,So11111111111111111111111111111111111111112,HS99p18ovjEgnb1uECAmaDMYqM7rTNpo8QZAnwkZDWKH,762705.1765886045,762705.1765886045,762705.1765886045,762705.1765886045,<nil>,<nil>,||,[raydium],[CS3uN9SQtCvaPiQkFeYmvdnndWbgHD4gbAnSwKvU7QyF]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/GHBgKjdKaxyaFTbuxL8Gc1M6zzwn84QQEnJpEnRdpump' target='_blank'>PORTU</a>,So11111111111111111111111111111111111111112,GHBgKjdKaxyaFTbuxL8Gc1M6zzwn84QQEnJpEnRdpump,762496.467037919,762496.467037919,762496.467037919,762496.467037919,<nil>,<nil>,||,[raydium],[a2SCFD21gP8LYQVGqSxY27Wi31S5aAgw7Seoem42Pmk]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/9U8P1K9RcqbiZ8pZaAvFqTdKyoLyXUoH2gAorfG3pump' target='_blank'>FARTL</a>,So11111111111111111111111111111111111111112,9U8P1K9RcqbiZ8pZaAvFqTdKyoLyXUoH2gAorfG3pump,762312.5540828183,762312.5540828183,762312.5540828183,762312.5540828183,<nil>,<nil>,||,[pumpdotfun raydium],[G94hY9MRFGeVWMYu7R2jNfpRGXooChPSa9rdjaCcuKCS 4YfhC2S911XMDjiYQ4swgRBWzTwDNrmjhfSAmvGnAS1F]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/Gi8BuN4GT2NoVuJqUvyAnEDerEueCYhs2e4ZBfe7pump' target='_blank'>GUFF</a>,So11111111111111111111111111111111111111112,Gi8BuN4GT2NoVuJqUvyAnEDerEueCYhs2e4ZBfe7pump,761857.8548492282,761857.8548492282,761857.8548492282,761857.8548492282,<nil>,<nil>,||,[pumpdotfun raydium],[5NS1SGZG8qKoWsdiEj8HR6UxAjU9PqQSoyNJaBEp7Rby 5MkA4Gg6Q9Aahbn7JCFD8oLD2vHkoZbz7LFy6VahtCbF]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/5fQhktFev8CbQ4Vac5tZEtpxzQaxMT58epJcqxcamvy9' target='_blank'>SPARK</a>,So11111111111111111111111111111111111111112,5fQhktFev8CbQ4Vac5tZEtpxzQaxMT58epJcqxcamvy9,761407.120089442,761407.120089442,761407.120089442,761407.120089442,<nil>,<nil>,||,[raydium],[FY6AwzL8aSvZ3opScwgqkNGcN3Dwm69qmF91RbbHsQxF]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/4mbdysBik3jmzD7mt6FGPDsMxnYcxExSQRFjPucdpump' target='_blank'>TSOTC</a>,So11111111111111111111111111111111111111112,4mbdysBik3jmzD7mt6FGPDsMxnYcxExSQRFjPucdpump,759539.326649089,7.48266323946824e+06,7.045822192935559e+07,3.1188742788375986e+08,<nil>,<nil>,||,[pumpdotfun raydium meteora],[CtEkrKtjLHDUSMFYq47ma7yrRNw6SCWwNuq2iJAYHz8k DMpf1UFoueR8cFD8Gh5bV7x5zfwwHn7zQt3Wbz1etPKP 2odjvAd2jAqQDsUNMsTbVNQSPRDYjTe8ujc2qAqCxkkd 8Zjp8S86Bj6HpA9dhLRRLMT7o14MpK5e47isuU8Y6TSs GyTPgkqx7rj4cXTLAdm9mgvgtu9hjWrssE1SEefcriZx AaZ5ZLS56konHxyF39UbCr1VA8rTnp47qkv9iHWweytn EvLT2vjtZR3M23WQFoZSWj98Mx2ymQmzAhqux82qqQ2c EnKX3ijb4JfLURmcsxTAGd6BephoUEjQfAV7YXdxGKek 84nLjFTDG3QJw4QeKtWfih8EN5Y4thrdX71vAKmpX5Lp 44ML4erfVyj6LLnLfD1dN7F5Z5cXhpssXRAVdJdifUTn 8Lj1zCjYChd2XQDNCDEV65eV2Mqn1mYSc4ZrAFr6Lu62 Ezg53APP88mdxAZTBh3BwxkWD42A1Rg6rnVzeKZvsp2G EcD4b2QvnXfuhmefRMVPLw7JwRAEiPtSQcrZNAqXTgf9 AdfQ3Ee82rbWdgGecDH7vyhGoHUUU91b8unrDKxsF1C5 A6LmTmy1Tio3C8MheQ8F8qCntZMeiMHrGv6iBh5xvyrA 51iy1JHjCCc9RpSuDgjgGEAH84GjyfYw1m2HdUnehrL2]
<a href='https://solana.fm/account/So11111111111111111111111111111111111111112' target='_blank'>SOL</a>-<a href='https://solana.fm/account/JBgJbmdZSgTeP8njpeZazVnqqUwZH6gjhtk4tXqzzRtR' target='_blank'>BETTT</a>,So11111111111111111111111111111111111111112,JBgJbmdZSgTeP8njpeZazVnqqUwZH6gjhtk4tXqzzRtR,759496.1675900371,759496.1675900371,759496.1675900371,759496.1675900371,<nil>,<nil>,||,[raydium],[HmZCp5LYmVZ1jQXqa26tyKVq2GRKA16FGCfPWbVY5UFP]
<a href='https://solana.fm/account/HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC' target='_blank'>AI16Z</a>-<a href='https://solana.fm/account/7oBYdEhV4GkXC19ZfgAvXpJWp2Rn9pm1Bx2cVNxFpump' target='_blank'>CAR</a>,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,7oBYdEhV4GkXC19ZfgAvXpJWp2Rn9pm1Bx2cVNxFpump,759448.4610858994,759448.4610858994,759448.4610858994,759448.4610858994,<nil>,<nil>,||,[raydium],[13XFsg6TJaqmz53FpyxRcfp2SA2zj4wkG6xDpZNgksD2]
