project,_col1,usd_volume
chronos,2024-08-05 00:00:00.000 UTC,41210.49949674342
yaka,2024-12-23 00:00:00.000 UTC,641467.8686848003
mdex,2025-02-10 00:00:00.000 UTC,85670.24231245228
scrollswap,2024-09-09 00:00:00.000 UTC,4712.996729117727
wigoswap,2024-09-30 00:00:00.000 UTC,2.940238359934365e+07
agni,2024-07-01 00:00:00.000 UTC,6.611350848860702e+07
throne_exchange,2025-02-10 00:00:00.000 UTC,19.489904406757972
fusionx,2024-04-08 00:00:00.000 UTC,3.578566075521512e+07
vesync,2024-09-09 00:00:00.000 UTC,43571.949080719234
plantbaseswap,2024-03-04 00:00:00.000 UTC,0.55255325006
wagmi,2024-03-25 00:00:00.000 UTC,181275.75481584106
carbon_defi,2024-06-24 00:00:00.000 UTC,521317.02148781845
gemswap,2024-12-02 00:00:00.000 UTC,4435.637845505657
defi_kingdoms,2024-04-15 00:00:00.000 UTC,63706.65967674875
bridgers,2024-10-21 00:00:00.000 UTC,<nil>
nomiswap,2024-06-03 00:00:00.000 UTC,599.0878963720126
defiswap,2024-09-02 00:00:00.000 UTC,629976.382749714
curve,2024-08-26 00:00:00.000 UTC,8.545689293448819e+08
sushiswap,2024-12-02 00:00:00.000 UTC,3.048213626068117e+08
autotronic,2024-05-27 00:00:00.000 UTC,6.208887340518791
balancer,2025-01-27 00:00:00.000 UTC,4.614321240193907e+08
kyberswap,2025-01-13 00:00:00.000 UTC,1.0890325678635282e+06
lynex,2024-03-25 00:00:00.000 UTC,2.8351329800591026e+07
curve,2025-01-27 00:00:00.000 UTC,2.338295115174802e+09
lynex,2024-09-30 00:00:00.000 UTC,7.13461836418601e+07
openxswap,2024-10-14 00:00:00.000 UTC,299.9643239717658
enosys,2024-02-12 00:00:00.000 UTC,1.1459110609978633e+06
throne_exchange,2024-06-03 00:00:00.000 UTC,63.76399162399066
rocketswap,2024-09-30 00:00:00.000 UTC,396200.95885331254
gemswap,2024-09-02 00:00:00.000 UTC,3754.740163336527
clipper,2024-03-25 00:00:00.000 UTC,1.1142154604167277e+07
