product_name,avg_volume_7d,avg_volume_30d,avg_volume_90d,volume_change_7d_pct,volume_change_30d_pct,volume_change_90d_pct,market_share_7d,market_share_30d,market_share_90d,volume_to_tvl_ratio,label,average_tvl
Hyperliquid Perps,5.173416712285714e+09,7.462913758733334e+09,5.30854e+09,-0.40143597684562576,0.5928410395189658,3.3193207270437535,0.5449119686195681,0.5624957345872362,0.4772907449946478,9.170574846631155E0,0.0,5.6413221622483e+08
Jupiter Perpetual Exchange,8.39329222e+08,1.4236352363666666e+09,1.1164565492666667e+09,-0.4984035928748826,0.8471534202583594,1.04616933674689,0.0884058957775083,0.1073024255609592,0.1003805901723715,3.1323925708026523E-1,0.0,2.6795147895045867e+09
GMX V2 Perps,4.3370178828571427e+08,4.279413486666667e+08,3.192551148111111e+08,-0.2625748589124112,0.7245558348055013,1.1949432932783217,0.045681472881812554,0.03225485260322308,0.02870422217625694,6.11670049980523E-1,0.0,7.09045323209015e+08
SynFutures V3,4.14650086e+08,5.005193156666667e+08,7.069554634111111e+08,-0.2384475876135375,-0.2723889401349027,0.37614217432964636,0.04367477186091688,0.037725208845078184,0.06356235420841243,9.381818773985158E0,0.0,4.419719629948333e+07
Apex Omni,3.04432677e+08,3.3277627393333334e+08,3.881891814777778e+08,-0.0599475510830922,-0.26088982553288814,5.763493924118534,0.03206565768078292,0.02508205785445178,0.03490208298823991,8.244368910149484E0,0.0,3.6926134713018335e+07
dYdX (V3+V4),1.9523750914285713e+08,3.6031104606666666e+08,4.5969182653333336e+08,-0.5780315434257426,0.0941854951573235,0.12308357895444336,0.02056421536714202,0.027157412384672196,0.04133088464135997,5.326545401233108E-1,0.0,3.665368347328067e+08
HMX,1.6122483642857143e+08,1.6155662783333334e+08,1.4434660946666667e+08,0.18759712699940906,0.2638431409211374,1.4442709639118654,0.016981686938156087,0.012176867774225974,0.012978201307665914,1.237276820417581E1,0.0,1.3030619645340001e+07
Satori Perp,1.4530114e+08,2.086006175e+08,3.223260877222222e+08,-0.35379361794290326,-0.38891209059839954,1.0823172865066493,0.015304456347396354,0.015722673659293224,0.02898033330070973,5.4368012526223055E1,0.0,2.672548310091667e+06
JOJO,1.3915412142857143e+08,1.416162976e+08,1.2930338482222222e+08,0.04899264732048035,0.17647967007703413,0.0761436151672741,0.014656995650301595,0.010673922535258796,0.011625665224737512,4.81057062972682E1,0.0,2.892673907928333e+06
Vertex Perps,1.2692696157142857e+08,2.2048434116666666e+08,2.6082131654444444e+08,-0.36677041137217564,-0.07335507202744551,-0.04655035374493415,0.01336911838873104,0.016618375269899528,0.02345044032520858,2.1157652373104554E0,0.0,5.999104216911e+07
APX Finance,1.1756388642857143e+08,1.424302014e+08,1.1002569924444444e+08,-0.21104166901388036,0.2940535044464343,0.048243703039439076,0.0123829129480769,0.010735268201397386,0.009892408828216034,1.7535140747842062E0,0.0,6.704473498055e+07
Aark Digital,1.1439151928571428e+08,7.355691206666666e+07,9.207133628888889e+07,1.7618635550739228,-0.24903466897050056,-0.1131141748613421,0.012048769978133431,0.00554414142043241,0.00827813234711927,0.0,0.0,0
KiloEx,1.1269336642857143e+08,9.538809096666667e+07,9.576373957777777e+07,-0.02763791246472535,0.10618208575963428,-0.07041512503508884,0.011869904855166404,0.007189603958156433,0.00861011626672324,2.354114824575312E0,0.0,4.787080275445e+07
Drift Trade,1.1159283328571428e+08,1.8726822286666667e+08,1.7733549823333332e+08,-0.4372057070274289,0.4035556301085511,0.5545954260998698,0.011753986553054527,0.014114805556068852,0.015944231759727666,1.1460420488549905E-1,0.0,9.737237250344049e+08
ApeX Pro,1.0734698157142857e+08,1.5438854173333332e+08,1.5732385112222221e+08,-0.40721904410452664,0.11523801037065949,-0.1140706765365897,0.011306774286042693,0.01163659382938966,0.014144984893690636,2.588731292440769E0,0.0,4.146702358985167e+07
HoldStation DeFutures,9.880228342857143e+07,1.4167926976666668e+08,1.406578007777778e+08,-0.28263281008826213,-0.08161066281444734,-0.17989660495663282,0.010406767859878138,0.01067866888183238,0.012646540578489436,1.1251671269086206E1,0.0,8.781120694489999e+06
Paradex,9.724894885714285e+07,1.154617759e+08,8.302126648888889e+07,-0.4322787824908551,0.7124047517068308,0.5797015292032296,0.010243156334591203,0.00870260042541891,0.0074644407187062665,2.5106148423129664E0,0.0,3.873511269755334e+07
Bluefin Perps,7.146343428571428e+07,1.2286012176666667e+08,1.2992956168888889e+08,-0.2625233460395969,-0.23649613747117984,2.4854791019141604,0.007527188089926495,0.009260229540204157,0.011681964776627439,0.0,0.0,0
PancakeSwap Perps,7.016231042857143e+07,1.1921822076666667e+08,8.510914504444444e+07,-0.3392281052389678,0.7604587359669592,0.6288933266421499,0.0073901417235029505,0.008985731690635454,0.007652161845652557,0.0,0.0,0
Orderly Perps,7.002293242857143e+07,1.6837882793333334e+08,1.1214291785555555e+08,-0.6239985596220795,0.8871798902860006,0.1268971182688396,0.0073754611468964115,0.01269107155318026,0.010082767919079765,0.0,0.0,0
Gains Network,6.262755114285714e+07,8.093572633333333e+07,6.337288235555556e+07,-0.39700260019355654,1.0672717594268124,0.3699840747729812,0.006596511373621637,0.006100298396848537,0.005697854821088526,1.0030297878787289E0,0.0,6.2438376107758336e+07
Helix Spot,5.950166385714286e+07,5.98224238e+07,4.7455964155555554e+07,0.6093997157543412,0.12251459336035424,0.2605526455342101,0.006267264090970616,0.004508943732706525,0.004266764964800946,0.0,0.0,0
MYX Finance,5.850216285714286e+07,6.386706696666667e+07,8.29275384e+07,-0.059815622448531156,-0.5046704768782783,-0.286148001848976,0.0061619874260822405,0.004813797118760334,0.0074560136277598485,7.72119925752327E0,0.0,7.57682335424e+06
LogX V2,5.003037871428572e+07,4.4261674833333336e+07,2.6539456755555555e+07,-0.0024332286979041463,0.996560487083023,1.279925485541773,0.005269660974968906,0.0033360968790912228,0.002386162124918028,1.1105104354387041E1,0.0,4.505169615495e+06
Adrena Protocol,4.355767028571428e+07,1.92872121e+07,2.017031994117647e+07,1.3828744597128135,0.8538536278556309,0.0,0.0045878956179008475,0.001453718331614582,0.0018135131376055408,0.0,0.0,0
Merkle Trade,4.070882171428572e+07,5.801136653333333e+07,4.049348328888889e+07,-0.41227748417040516,0.7948810558703906,0.41646569124765914,0.004287828608090938,0.004372440482028988,0.003640768423404947,0.0,0.0,0
LN Exchange Perps,2.9752655e+07,3.2026147466666665e+07,3.0302463666666668e+07,0.056688868733286886,-0.08007506054289536,10.895107875457029,0.0031338240681844883,0.002413879072926524,0.0027244940150468076,0.0,0.0,0
Raydium Perps,2.2322661e+07,2.392368125e+07,2.392368125e+07,-0.36458474086986237,0.0,0.0,0.0023512285645675393,0.0018031789048884393,0.002150977791789642,0.0,0.0,0
Fulcrom Perps,2.194347957142857e+07,2.84165575e+07,2.7929868733333334e+07,-0.3570505508892884,-0.04030409132568451,1.7403926605945783,0.002311289678875969,0.0021418165748864158,0.002511174043208752,0.0,0.0,0
Synthetix V3,1.9598036285714287e+07,2.5088581433333334e+07,1.6601426277777778e+07,-0.46816767114157304,1.5200197982234929,1.5209824356561905,0.0020642459572540457,0.0018909799174055804,0.0014926339664190678,0.0,0.0,0
RabbitX,1.872621385714286e+07,2.9129215866666667e+07,7.265036821111111e+07,-0.048063383169894405,-0.4760149530494301,-0.29463553431454464,0.001972417577237533,0.0021955311566740987,0.0065319934233549525,3.070316694845991E0,0.0,6.0991147553533325e+06
Synthetix,1.745374642857143e+07,1.89080602e+07,4.029419585555556e+07,-0.07191160879833702,0.01021146831954672,-0.07005906128136132,0.001838389570202935,0.0014251408438657695,0.003622850493517683,1.7979062291827008E-1,0.0,9.707817985872167e+07
Derive V2,1.517851957142857e+07,4.2247701733333334e+07,5.799616041111111e+07,-0.682795686854474,-0.5958299694206879,6.2634406371321925,0.0015987416905265148,0.003184299429067398,0.005214433838578652,0.0,0.0,0
BSX Exchange,1.4773358714285715e+07,2.1986685666666668e+07,3.166080868888889e+07,-0.15739442119854882,-0.44757330191344713,0.992508421229008,0.0015560664117791041,0.0016571834145527394,0.0028466227938854743,0.0,0.0,0
Demex Perp,1.2858555e+07,1.01905171e+07,7.281216811111111e+06,0.41594175002317957,0.14013469912823837,3.1421878150803004,0.001354381622113186,0.0007680810186611608,0.0006546540849730389,0.0,0.0,0
FlashTrade,1.1751244142857144e+07,1.7398066266666666e+07,1.4408257266666668e+07,-0.45189369137395125,0.4228027808276481,-0.17796308156701865,0.001237749428613941,0.0013113293790396282,0.0012954461763275554,4.560767767404975E-1,0.0,2.5765934031636667e+07
MUX Perps,1.1627814142857144e+07,8.128358233333333e+06,9.152358955555556e+06,0.537642949655727,0.7491543149923104,-0.1334650934835808,0.0012247486424744852,0.0006126517045834211,0.0008228884447240763,0.0,0.0,0
Aevo Perps,1.1510278714285715e+07,1.70127502e+07,2.046664598888889e+07,-0.2614694784605781,0.34550505817046556,-0.20622092896759228,0.0012123687269704226,0.0012822872848958634,0.0018401558077321633,2.607739800458485E-1,0.0,4.413890800095167e+07
Crypto Valley Exchange,8.530677857142856e+06,7.568535842105263e+06,7.568535842105263e+06,-0.260074158443984,0.0,0.0,0.0008985296803476113,0.0005704566963905804,0.0006804869343731261,0.0,0.0,0
Avantis,8.049988e+06,1.2498567633333333e+07,1.95753008e+07,-0.2747535757630032,0.20764351969474895,2.684791989572083,0.0008478989906277713,0.0009420437123466562,0.0017600149763072944,0.0,0.0,0
Zeta,4.862322142857143e+06,7.5621121e+06,7.961842155555556e+06,-0.3893086866797374,0.42475325823007487,0.8544896032896147,0.0005121446189777716,0.0005699725252409311,0.000715849098613725,0.0,0.0,0
Optim Finance,4.125242285714286e+06,4.265403666666667e+06,4.087322066666667e+06,0.0005871845736709753,-0.019048106602414887,-0.08084600120733175,0.0004345085694726679,0.0003214925760042525,0.00036749106048600873,0.0,0.0,0
Poly0.0mial Trade,3.9756105714285714e+06,4.012369533333333e+06,3.432004711111111e+06,0.12173351084298804,0.011545226142899656,2.4906210030901805,0.0004187479770955414,0.0003024208534430184,0.00030857148771439285,0.0,0.0,0
Storm Trade,3.817866714285714e+06,7.274145766666667e+06,6.577414988888889e+06,-0.3746715542231056,0.09910873647315466,0.2250244230986972,0.0004021329390049057,0.0005482678882263104,0.0005913752745925887,0.0,0.0,0
Blitz Perps,3.543421285714286e+06,1.3363825633333333e+07,1.8964840388888888e+07,-0.767682806091762,-0.01880787179022095,-0.4710954717914703,0.0003732258149361344,0.001007260054120394,0.0017051284906805567,1.91380111519373E-1,0.0,1.851509677564167e+07
IntentX,3.2096651428571427e+06,9.5725867e+06,1.912975131111111e+07,-0.4704331698135969,-0.5117015998137928,0.1591924395329536,0.00033807153934660683,0.00072150628585455,0.0017199556290133562,0.0,0.0,0
