token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
WETH-XPR,690996.518143694,428,488135.1107348562,0.4155845440075862,6.4243917916625105e+06,1791,1.182979768929612e+07,-0.4569313896656533,2.9373051707827363e+07,6071,740833.3774015362,38.648661364115334
ENS-WETH,1.490988077471207e+06,116,1.0565452187304406e+06,0.41119192159404105,6.375594925321133e+06,434,1.2218211748641293e+07,-0.4781891936002729,4.52873203462114e+07,1102,5.613124388191486e+07,-0.1931887267368629
DOLA-s_e,431849.0919147468,6,1.594511221495546e+06,-0.7291652224876153,6.338951222764902e+06,46,1.2130654108246334e+07,-0.47744357672718346,2.8177591485449877e+07,126,4.886243438655419e+07,-0.42332812846500956
ILV-WETH,1.3383202446019559e+06,165,1.2964213650345837e+06,0.03231887463244208,6.299399711253575e+06,516,4.003091079093782e+06,0.5736338711233195,1.8789423021115195e+07,1371,2.3000871332998976e+07,-0.18309951179291564
OM-WETH,781924.379990223,251,629266.9688182492,0.24259562115370742,6.189688896796156e+06,1177,1.3281853471424388e+07,-0.5339740112241764,3.506141372682654e+07,3324,1.5498830538482398e+07,1.262197372877377
BIGBALLS-WETH,488694.328318018,355,1.5010407267784171e+06,-0.6744296676300917,6.1732902416611565e+06,1375,0,Infinity,6.1732902416611565e+06,1375,0,Infinity
crv_-GHO,340881.9705557088,30,3.275739304026848e+06,-0.8959373933888254,6.093071208440871e+06,135,9.447177890376441e+06,-0.35503795110625563,2.56161854077008e+07,251,2.162526935125564e+07,0.18454873285605722
RAI-WETH,994569.9835350275,410,426975.32389904483,1.3293383197249737,6.072748514638501e+06,1714,1.2546526006444992e+07,-0.515981674009283,7.135771452854799e+07,8810,1.7784283513747582e+08,-0.5987596887252323
69MINUTES-WETH,339025.9317518978,287,256129.629248496,0.3236497969665825,5.973026064769543e+06,1812,0,Infinity,5.973026064769543e+06,1812,0,Infinity
MEVSC-WETH,5.112654953160363e+06,807,860027.0758331703,4.944760457927868,5.9726820289935265e+06,892,0,Infinity,5.9726820289935265e+06,892,0,Infinity
