exchange,symbol,funding_rate,predicted_rate,next_funding_time,mark_price,payment_interval,annualized_rate
Binance,BLZ,5e-05,0.0,2025-01-29 01:30:00,0.04491179,8,5.475
Binance,BNB,0.0,0.0,2025-01-29 05:30:00,671.10572569,8,0.0
Binance,BNT,9.938e-05,0.0,2025-01-29 05:30:00,0.63250946,8,10.88211
Binance,BNX,0.0001,0.0,2025-01-29 05:30:00,0.24981062,8,10.95
Binance,BOME,5e-05,0.0,2025-01-29 01:30:00,0.0032284,8,5.475
Binance,BOND,5e-05,0.0,2025-01-29 01:30:00,0.39443152,8,5.475
Binance,BRETT,5e-05,0.0,2025-01-29 01:30:00,0.07769,8,5.475
Binance,BSV,5e-05,0.0,2025-01-29 01:30:00,49.14247917,8,5.475
Binance,BSW,5e-05,0.0,2025-01-29 01:30:00,0.05381,8,5.475
Binance,BTC,0.0001,0.0,2025-01-29 05:30:00,102528.2,8,10.95
Binance,BTCDOM,0.0001,0.0,2025-01-29 05:30:00,3291.3,8,10.95
Binance,BTCST,0.0001,0.0,2025-01-29 05:30:00,0.9191305,8,10.95
Binance,C98,2.846e-05,0.0,2025-01-29 05:30:00,0.12151208,8,3.11637
Binance,CAKE,5e-05,0.0,2025-01-29 01:30:00,1.915,8,5.475
Binance,CATI,5e-05,0.0,2025-01-29 01:30:00,0.229,8,5.475
Binance,CELO,6.292e-05,0.0,2025-01-29 05:30:00,0.532,8,6.88974
Binance,CELR,0.0001,0.0,2025-01-29 05:30:00,0.01433411,8,10.95
Binance,CETUS,5e-05,0.0,2025-01-29 01:30:00,0.19413394,8,5.475
Binance,CFX,0.0001,0.0,2025-01-29 05:30:00,0.14472,8,10.95
Binance,CGPT,5e-05,0.0,2025-01-29 01:30:00,0.21582859,8,5.475
Binance,CHESS,5e-05,0.0,2025-01-29 01:30:00,0.14836519,8,5.475
Binance,CHILLGUY,5e-05,0.0,2025-01-29 01:30:00,0.05432817,8,5.475
Binance,CHR,5.041e-05,0.0,2025-01-29 05:30:00,0.15509944,8,5.519895
Binance,CHZ,1.56e-06,0.0,2025-01-29 05:30:00,0.06680901,8,0.17082000000000003
Binance,CKB,0.0001,0.0,2025-01-29 05:30:00,0.00816654,8,10.95
Binance,COMBO,0.0001,0.0,2025-01-29 05:30:00,0.32986889,8,10.95
Binance,COMP,2.89e-05,0.0,2025-01-29 05:30:00,69.11614308,8,3.16455
Binance,COOKIE,5e-05,0.0,2025-01-29 01:30:00,0.26509592,8,5.475
Binance,COS,5e-05,0.0,2025-01-29 01:30:00,0.00612318,8,5.475
Binance,COTI,0.0001,0.0,2025-01-29 05:30:00,0.09379,8,10.95
Binance,COW,5e-05,0.0,2025-01-29 01:30:00,0.53535004,8,5.475
Binance,CRV,5.058e-05,0.0,2025-01-29 05:30:00,0.704,8,5.53851
Binance,CTK,0.0001,0.0,2025-01-29 05:30:00,0.57664138,8,10.95
Binance,CTSI,0.0001,0.0,2025-01-29 05:30:00,0.1300103,8,10.95
Binance,CVC,0.0001,0.0,2025-01-29 05:30:00,0.13908199,8,10.95
Binance,CVX,0.0001,0.0,2025-01-29 05:30:00,3.01883903,8,10.95
Binance,CYBER,5e-05,0.0,2025-01-29 01:30:00,2.409943,8,5.475
Binance,D,-0.00014698,0.0,2025-01-29 01:30:00,0.11595,8,-16.09431
Binance,DAR,0.0001,0.0,2025-01-29 05:30:00,0.21705535,8,10.95
Binance,DASH,0.0001,0.0,2025-01-29 05:30:00,32.20139898,8,10.95
Binance,DEFI,-0.00111844,0.0,2025-01-29 05:30:00,984.83589801,8,-122.46918
Binance,DEGEN,5e-05,0.0,2025-01-29 01:30:00,0.00602222,8,5.475
Binance,DEGO,5e-05,0.0,2025-01-29 01:30:00,1.80502907,8,5.475
Binance,DENT,0.0001,0.0,2025-01-29 05:30:00,0.00107679,8,10.95
Binance,DEXE,5e-05,0.0,2025-01-29 01:30:00,20.30311728,8,5.475
Binance,DF,5e-05,0.0,2025-01-29 01:30:00,0.08817,8,5.475
Binance,DGB,0.0001,0.0,2025-01-29 05:30:00,0.01078335,8,10.95
Binance,DIA,5e-05,0.0,2025-01-29 01:30:00,0.56908527,8,5.475
Binance,DODOX,5e-05,0.0,2025-01-29 01:30:00,0.10017325,8,5.475
Binance,DOGE,2.097e-05,0.0,2025-01-29 05:30:00,0.32494569,8,2.296215
Binance,DOGS,5e-05,0.0,2025-01-29 01:30:00,0.0002775,8,5.475
Binance,DOT,7.748e-05,0.0,2025-01-29 05:30:00,5.79241743,8,8.48406
Binance,DRIFT,5e-05,0.0,2025-01-29 01:30:00,0.924,8,5.475
Binance,DUSK,0.0001,0.0,2025-01-29 05:30:00,0.15708702,8,10.95
Binance,DYDX,0.0001,0.0,2025-01-29 05:30:00,1.02941415,8,10.95
Binance,DYM,5e-05,0.0,2025-01-29 01:30:00,0.91113069,8,5.475
Binance,EDU,0.0001,0.0,2025-01-29 05:30:00,0.4422,8,10.95
Binance,EGLD,0.0001,0.0,2025-01-29 05:30:00,28.03251953,8,10.95
