token,current_funding_rate,predicted_funding_rate,mark_price,open_interest,volume_24h,avg_24h_funding_rate,funding_difference,annualized_funding
BTC,3.823e-05,3.821e-05,95946.0,8942.11302,789832291.7685297,3.3070416666666664e-05,-1.999999999999642e-08,1.395395
ETH,3.824e-05,3.249e-05,95947.0,8942.65666,789883319.8591496,1.59575e-05,-5.7499999999999975e-06,1.3957600000000001
ATOM,3.825e-05,1.25e-05,95946.0,8942.65666,789889103.3878095,1.25416666666667e-07,-2.5750000000000002e-05,1.396125
MATIC,3.825e-05,0.0,95946.0,8942.72248,789907882.1238896,0.0,-3.825e-05,1.396125
DYDX,3.824e-05,1.25e-05,95930.0,8942.75124,789914975.9083797,1.25e-05,-2.574e-05,1.3957600000000001
SOL,3.824e-05,1.25e-05,95928.0,8942.75124,789915397.6439797,2.474541666666667e-05,-2.574e-05,1.3957600000000001
AVAX,3.825e-05,1.25e-05,95928.0,8942.75124,789915397.6439797,1.4152916666666668e-05,-2.5750000000000002e-05,1.396125
BNB,3.825e-05,1.25e-05,95928.0,8942.75124,789915397.6439797,1.25e-05,-2.5750000000000002e-05,1.396125
APE,3.826e-05,1.25e-05,95929.0,8944.7345,790010444.3878497,1.25e-05,-2.5760000000000004e-05,1.39649
OP,3.826e-05,1.25e-05,95929.0,8944.7345,790010444.3878497,1.25e-05,-2.5760000000000004e-05,1.39649
LTC,3.827e-05,1.25e-05,95929.0,8944.7345,790010444.3878497,1.25e-05,-2.577e-05,1.396855
ARB,3.828e-05,1.25e-05,95929.0,8944.7467,790014491.1326296,1.25e-05,-2.578e-05,1.3972200000000001
DOGE,3.829e-05,1.25e-05,95929.0,8944.7631,790015277.0944296,1.25e-05,-2.5790000000000002e-05,1.397585
INJ,3.829e-05,1.25e-05,95929.0,8944.92688,790023126.1690396,1.25e-05,-2.5790000000000002e-05,1.397585
SUI,3.83e-05,1.25e-05,95929.0,8944.92688,790023126.1690396,4.0070833333333334e-06,-2.5800000000000004e-05,1.39795
kPEPE,3.83e-05,8.49e-05,95929.0,8944.97132,790026255.6388896,2.9192083333333335e-05,4.66e-05,1.39795
CRV,3.831e-05,-1.451e-05,95929.0,8944.97132,790026255.6388896,4.4175000000000005e-06,-5.282e-05,1.398315
LDO,3.831e-05,4.547e-05,95929.0,8945.0369,790029398.5275996,1.3843333333333335e-05,7.159999999999999e-06,1.398315
LINK,3.83e-05,1.447e-05,95920.0,8945.0169,790031875.2657596,1.25e-05,-2.383e-05,1.39795
STX,3.83e-05,1.25e-05,95909.0,8944.98532,790037400.9606096,1.25e-05,-2.5800000000000004e-05,1.39795
RNDR,3.828e-05,0.0,95909.0,8944.91386,790042830.8064595,0.0,-3.828e-05,1.3972200000000001
CFX,3.827e-05,1.25e-05,95908.0,8944.91376,790042840.3913596,1.0777083333333334e-05,-2.577e-05,1.396855
FTM,3.831e-05,1.25e-05,95923.0,8945.00414,790050884.9979295,1.0297500000000001e-05,-2.581e-05,1.398315
GMX,3.831e-05,1.25e-05,95944.0,8944.99872,790051246.3486595,1.25e-05,-2.581e-05,1.398315
SNX,3.831e-05,1.25e-05,95944.0,8944.862,790058132.1408195,1.25e-05,-2.581e-05,1.398315
XRP,3.831e-05,1.25e-05,95943.0,8944.862,790058132.1408195,1.25e-05,-2.581e-05,1.398315
BCH,3.83e-05,1.25e-05,95943.0,8944.862,790058132.1408195,1.25e-05,-2.5800000000000004e-05,1.39795
APT,3.83e-05,1.25e-05,95943.0,8944.8913,790062012.1083395,1.25e-05,-2.5800000000000004e-05,1.39795
AAVE,3.83e-05,7.046e-05,95949.0,8944.8913,790062012.1083395,5.0124166666666663e-05,3.216e-05,1.39795
COMP,3.83e-05,-3.678e-05,95949.0,8944.8913,790062012.1083395,8.013750000000001e-06,-7.507999999999999e-05,1.39795
MKR,3.83e-05,3.801e-05,95949.0,8944.8913,790062012.1083395,2.6485833333333333e-05,-2.900000000000057e-07,1.39795
WLD,3.829e-05,5.867e-05,95949.0,8944.90296,790062570.9080095,2.551125e-05,2.0379999999999998e-05,1.397585
FXS,3.829e-05,1.25e-05,95950.0,8944.90296,790063095.2020395,1.7475833333333333e-05,-2.5790000000000002e-05,1.397585
HPOS,3.829e-05,1.25e-05,95949.0,8944.90296,790063095.2020395,0.00011976416666666666,-2.5790000000000002e-05,1.397585
RLB,3.829e-05,1.25e-05,95949.0,8944.905,790063192.9680195,1.25e-05,-2.5790000000000002e-05,1.397585
UNIBOT,3.829e-05,0.0,95950.0,8944.905,790063192.9680195,0.0,-3.829e-05,1.397585
YGG,3.829e-05,1.25e-05,95950.0,8944.905,790063430.6735395,1.25e-05,-2.5790000000000002e-05,1.397585
TRX,3.829e-05,-1.9e-07,95949.0,8944.905,790063430.6735395,2.5625e-06,-3.8480000000000004e-05,1.397585
kSHIB,3.829e-05,1.25e-05,95950.0,8944.97058,790066573.5622495,-1.9258333333333332e-06,-2.5790000000000002e-05,1.397585
UNI,3.829e-05,2.841e-05,95950.0,8944.99752,790067864.6482795,3.0224583333333335e-05,-9.88e-06,1.397585
SEI,3.829e-05,1.25e-05,95950.0,8944.99752,790067864.6482795,1.2443750000000001e-05,-2.5790000000000002e-05,1.397585
RUNE,3.828e-05,6.519e-05,95955.0,8944.9857,790070296.3374095,1.978125e-05,2.6910000000000005e-05,1.3972200000000001
OX,3.828e-05,0.0,95955.0,8944.96058,790071500.2008494,0.0,-3.828e-05,1.3972200000000001
FRIEND,3.828e-05,0.0,95955.0,8945.13852,790086525.4900894,0.0,-3.828e-05,1.3972200000000001
SHIA,3.829e-05,0.0,95955.0,8945.13852,790086525.4900894,0.0,-3.829e-05,1.397585
CYBER,3.828e-05,1.25e-05,95955.0,8945.13852,790109141.0616394,1.25e-05,-2.578e-05,1.3972200000000001
ZRO,3.827e-05,1.25e-05,95950.0,8945.20476,790113242.4403495,1.25e-05,-2.577e-05,1.396855
BLZ,3.826e-05,0.0,95950.0,8945.20476,790113242.4403495,0.0,-3.826e-05,1.39649
DOT,3.826e-05,1.25e-05,95950.0,8945.17338,790114806.6960295,1.2340833333333334e-05,-2.5760000000000004e-05,1.39649
BANANA,3.826e-05,1.25e-05,95950.0,8945.18928,790115568.6955795,1.4211666666666666e-05,-2.5760000000000004e-05,1.39649
TRB,3.826e-05,1.25e-05,95950.0,8944.897,790155155.2910695,1.25e-05,-2.5760000000000004e-05,1.39649
FTT,3.825e-05,1.25e-05,95944.0,8944.8977,790155482.1361594,3.10125e-06,-2.5750000000000002e-05,1.396125
LOOM,3.825e-05,0.0,95944.0,8944.90258,790155716.0077194,0.0,-3.825e-05,1.396125
OGN,3.825e-05,1.25e-05,95944.0,8944.90258,790155716.0077194,1.25e-05,-2.5750000000000002e-05,1.396125
RDNT,3.823e-05,1.25e-05,95944.0,8944.90258,790170701.0403794,1.2113333333333333e-05,-2.573e-05,1.395395
ARK,3.823e-05,1.25e-05,95943.0,8944.96814,790173928.2762094,8.880833333333333e-06,-2.573e-05,1.395395
BNT,3.822e-05,1.25e-05,95943.0,8944.96814,790173928.2762094,1.25e-05,-2.5720000000000004e-05,1.39503
CANTO,3.822e-05,0.0,95943.0,8944.96814,790173928.2762094,0.0,-3.822e-05,1.39503
REQ,3.821e-05,1.25e-05,95943.0,8944.96814,790173928.2762094,1.60775e-05,-2.5710000000000003e-05,1.394665
BIGTIME,3.821e-05,1.25e-05,95943.0,8944.63838,790190718.1455394,1.25e-05,-2.5710000000000003e-05,1.394665
KAS,3.82e-05,7.606e-05,95943.0,8944.45628,790200457.3624294,2.964125e-05,3.786e-05,1.3943
ORBS,3.82e-05,1.25e-05,95944.0,8944.45628,790200981.6564593,1.233125e-05,-2.57e-05,1.3943
BLUR,3.819e-05,1.25e-05,95943.0,8944.45628,790200981.6564593,1.25e-05,-2.569e-05,1.393935
TIA,3.818e-05,1.413e-05,95943.0,8945.10252,790232952.0904094,1.3350833333333334e-05,-2.4049999999999995e-05,1.39357
BSV,3.818e-05,1.25e-05,95944.0,8945.10252,790232952.0904094,1.25e-05,-2.5679999999999998e-05,1.39357
ADA,3.817e-05,1.25e-05,95944.0,8945.1043,790233037.3960193,1.1930833333333333e-05,-2.5670000000000003e-05,1.393205
TON,3.81e-05,8.6e-06,95944.0,8945.16988,790236180.2847294,6.283333333333337e-07,-2.95e-05,1.39065
