exchange,symbol,funding_rate,predicted_rate,next_funding_time,mark_price,payment_interval,annualized_rate
Binance,BLZ,5e-05,0.0,2025-01-29 01:30:00,0.04492059,8,5.475
Binance,BNB,0.0,0.0,2025-01-29 05:30:00,673.15497987,8,0.0
Binance,BNT,0.0001,0.0,2025-01-29 05:30:00,0.63531933,8,10.95
Binance,BNX,0.0001,0.0,2025-01-29 05:30:00,0.2508,8,10.95
Binance,BOME,5e-05,0.0,2025-01-29 01:30:00,0.00326747,8,5.475
Binance,BOND,5e-05,0.0,2025-01-29 01:30:00,0.4001618,8,5.475
Binance,BRETT,5e-05,0.0,2025-01-29 01:30:00,0.07879063,8,5.475
Binance,BSV,5e-05,0.0,2025-01-29 01:30:00,49.24554167,8,5.475
Binance,BSW,5e-05,0.0,2025-01-29 01:30:00,0.0539627,8,5.475
Binance,BTC,0.0001,0.0,2025-01-29 05:30:00,102767.65678519,8,10.95
Binance,BTCDOM,0.0001,0.0,2025-01-29 05:30:00,3286.50079589,8,10.95
Binance,BTCST,0.0001,0.0,2025-01-29 05:30:00,0.91913248,8,10.95
Binance,C98,7.732e-05,0.0,2025-01-29 05:30:00,0.12199198,8,8.46654
Binance,CAKE,5e-05,0.0,2025-01-29 01:30:00,1.92748068,8,5.475
Binance,CATI,5e-05,0.0,2025-01-29 01:30:00,0.23085827,8,5.475
Binance,CELO,7.622e-05,0.0,2025-01-29 05:30:00,0.534,8,8.34609
Binance,CELR,0.0001,0.0,2025-01-29 05:30:00,0.01441174,8,10.95
Binance,CETUS,5e-05,0.0,2025-01-29 01:30:00,0.19609958,8,5.475
Binance,CFX,0.0001,0.0,2025-01-29 05:30:00,0.1457976,8,10.95
Binance,CGPT,5e-05,0.0,2025-01-29 01:30:00,0.2176006,8,5.475
Binance,CHESS,5e-05,0.0,2025-01-29 01:30:00,0.14852611,8,5.475
Binance,CHILLGUY,6.268e-05,0.0,2025-01-29 01:30:00,0.05570615,8,6.863460000000001
Binance,CHR,6.562e-05,0.0,2025-01-29 05:30:00,0.15583198,8,7.18539
Binance,CHZ,1.712e-05,0.0,2025-01-29 05:30:00,0.06721899,8,1.87464
Binance,CKB,0.0001,0.0,2025-01-29 05:30:00,0.00820419,8,10.95
Binance,COMBO,0.0001,0.0,2025-01-29 05:30:00,0.33234913,8,10.95
Binance,COMP,3.13e-05,0.0,2025-01-29 05:30:00,69.39812778,8,3.4273500000000006
Binance,COOKIE,5e-05,0.0,2025-01-29 01:30:00,0.2684,8,5.475
Binance,COS,5e-05,0.0,2025-01-29 01:30:00,0.00614723,8,5.475
Binance,COTI,0.0001,0.0,2025-01-29 05:30:00,0.0946529,8,10.95
Binance,COW,5e-05,0.0,2025-01-29 01:30:00,0.54057277,8,5.475
Binance,CRV,4.728e-05,0.0,2025-01-29 05:30:00,0.70670188,8,5.17716
Binance,CTK,0.0001,0.0,2025-01-29 05:30:00,0.57608936,8,10.95
Binance,CTSI,0.0001,0.0,2025-01-29 05:30:00,0.13044743,8,10.95
Binance,CVC,0.0001,0.0,2025-01-29 05:30:00,0.13877266,8,10.95
Binance,CVX,0.0001,0.0,2025-01-29 05:30:00,3.01891433,8,10.95
Binance,CYBER,5e-05,0.0,2025-01-29 01:30:00,2.41986945,8,5.475
Binance,D,-0.00021492,0.0,2025-01-29 01:30:00,0.11785,8,-23.53374
Binance,DAR,0.0001,0.0,2025-01-29 05:30:00,0.21705535,8,10.95
Binance,DASH,0.0001,0.0,2025-01-29 05:30:00,32.52283062,8,10.95
Binance,DEFI,-0.00101222,0.0,2025-01-29 05:30:00,991.98351069,8,-110.83809
Binance,DEGEN,5e-05,0.0,2025-01-29 01:30:00,0.00609655,8,5.475
Binance,DEGO,5e-05,0.0,2025-01-29 01:30:00,1.81684951,8,5.475
Binance,DENT,0.0001,0.0,2025-01-29 05:30:00,0.00108259,8,10.95
Binance,DEXE,5e-05,0.0,2025-01-29 01:30:00,20.283,8,5.475
Binance,DF,5e-05,0.0,2025-01-29 01:30:00,0.08923,8,5.475
Binance,DGB,0.0001,0.0,2025-01-29 05:30:00,0.01080098,8,10.95
Binance,DIA,5e-05,0.0,2025-01-29 01:30:00,0.5712505,8,5.475
Binance,DODOX,5e-05,0.0,2025-01-29 01:30:00,0.10060582,8,5.475
Binance,DOGE,2.092e-05,0.0,2025-01-29 05:30:00,0.32762261,8,2.29074
Binance,DOGS,5e-05,0.0,2025-01-29 01:30:00,0.0002803,8,5.475
Binance,DOT,0.0001,0.0,2025-01-29 05:30:00,5.82028266,8,10.95
Binance,DRIFT,5e-05,0.0,2025-01-29 01:30:00,0.93196621,8,5.475
Binance,DUSK,0.0001,0.0,2025-01-29 05:30:00,0.15795565,8,10.95
Binance,DYDX,0.0001,0.0,2025-01-29 05:30:00,1.041,8,10.95
Binance,DYM,5e-05,0.0,2025-01-29 01:30:00,0.9213,8,5.475
Binance,EDU,0.0001,0.0,2025-01-29 05:30:00,0.4438,8,10.95
Binance,EGLD,0.0001,0.0,2025-01-29 05:30:00,28.235,8,10.95
Binance,EIGEN,5e-05,0.0,2025-01-29 01:30:00,2.56360611,8,5.475
Binance,ENA,-0.00031643,0.0,2025-01-29 01:30:00,0.71300005,8,-34.649085
Binance,ENJ,0.0001,0.0,2025-01-29 05:30:00,0.14602516,8,10.95
Binance,ENS,6.427e-05,0.0,2025-01-29 05:30:00,32.08,8,7.037565000000001
Binance,EOS,0.0001,0.0,2025-01-29 05:30:00,0.768,8,10.95
Binance,ETC,0.0001,0.0,2025-01-29 05:30:00,25.66509826,8,10.95
Binance,ETH,7.393e-05,0.0,2025-01-29 05:30:00,3166.76,8,8.095335
Binance,ETHFI,5e-05,0.0,2025-01-29 01:30:00,1.5214,8,5.475
Binance,ETHW,5e-05,0.0,2025-01-29 01:30:00,2.4324,8,5.475
Binance,FARTCOIN,5e-05,0.0,2025-01-29 01:30:00,0.92337867,8,5.475
Binance,FET,0.0001,0.0,2025-01-29 05:30:00,1.0351,8,10.95
Binance,FIDA,5e-05,0.0,2025-01-29 01:30:00,0.19294691,8,5.475
Binance,FIL,0.0001,0.0,2025-01-29 05:30:00,4.55483223,8,10.95
Binance,FIO,5e-05,0.0,2025-01-29 01:30:00,0.03104,8,5.475
Binance,FLM,5e-05,0.0,2025-01-29 01:30:00,0.05145262,8,5.475
Binance,FLOW,0.0001,0.0,2025-01-29 05:30:00,0.63482718,8,10.95
Binance,FLUX,5e-05,0.0,2025-01-29 01:30:00,0.46359122,8,5.475
Binance,FTM,0.0001,0.0,2025-01-29 05:30:00,0.6994,8,10.95
Binance,FTT,0.0001,0.0,2025-01-29 05:30:00,1.98529899,8,10.95
Binance,FXS,0.0001,0.0,2025-01-29 05:30:00,2.4272,8,10.95
Binance,G,5e-05,0.0,2025-01-29 01:30:00,0.02683,8,5.475
Binance,GALA,0.0001,0.0,2025-01-29 05:30:00,0.02889,8,10.95
Binance,GAS,5e-05,0.0,2025-01-29 01:30:00,4.62582568,8,5.475
Binance,GHST,5e-05,0.0,2025-01-29 01:30:00,0.74280444,8,5.475
Binance,GLM,5e-05,0.0,2025-01-29 01:30:00,0.32297417,8,5.475
Binance,GLMR,0.0001,0.0,2025-01-29 05:30:00,0.16484533,8,10.95
