exchange,symbol,funding_rate,next_funding_time,mark_price,predicted_rate,payment_interval,annualized_rate
Hyperliquid,FET,0.0,2025-01-28 23:30:56.897761,0.0,,1,0.0
Hyperliquid,STRAX,0.0,2025-01-28 23:30:56.897765,0.0,,1,0.0
Hyperliquid,NEAR,0.0,2025-01-28 23:30:56.897770,0.0,,1,0.0
Hyperliquid,MEME,0.0,2025-01-28 23:30:56.897774,0.0,,1,0.0
Hyperliquid,ORDI,0.0,2025-01-28 23:30:56.897779,0.0,,1,0.0
Hyperliquid,BADGER,0.0,2025-01-28 23:30:56.897785,0.0,,1,0.0
Hyperliquid,NEO,0.0,2025-01-28 23:30:56.897790,0.0,,1,0.0
Hyperliquid,ZEN,0.0,2025-01-28 23:30:56.897795,0.0,,1,0.0
Hyperliquid,FIL,0.0,2025-01-28 23:30:56.897800,0.0,,1,0.0
Hyperliquid,PYTH,0.0,2025-01-28 23:30:56.897804,0.0,,1,0.0
Hyperliquid,SUSHI,0.0,2025-01-28 23:30:56.897836,0.0,,1,0.0
Hyperliquid,ILV,0.0,2025-01-28 23:30:56.897842,0.0,,1,0.0
Hyperliquid,IMX,0.0,2025-01-28 23:30:56.897846,0.0,,1,0.0
Hyperliquid,kBONK,0.0,2025-01-28 23:30:56.897848,0.0,,1,0.0
Hyperliquid,GMT,0.0,2025-01-28 23:30:56.897850,0.0,,1,0.0
Hyperliquid,SUPER,0.0,2025-01-28 23:30:56.897852,0.0,,1,0.0
Hyperliquid,USTC,0.0,2025-01-28 23:30:56.897854,0.0,,1,0.0
Hyperliquid,NFTI,0.0,2025-01-28 23:30:56.897856,0.0,,1,0.0
Hyperliquid,JUP,0.0,2025-01-28 23:30:56.897858,0.0,,1,0.0
Hyperliquid,kLUNC,0.0,2025-01-28 23:30:56.897860,0.0,,1,0.0
Hyperliquid,RSR,0.0,2025-01-28 23:30:56.897862,0.0,,1,0.0
Hyperliquid,GALA,0.0,2025-01-28 23:30:56.897865,0.0,,1,0.0
Hyperliquid,JTO,0.0,2025-01-28 23:30:56.897867,0.0,,1,0.0
Hyperliquid,NTRN,0.0,2025-01-28 23:30:56.897869,0.0,,1,0.0
Hyperliquid,ACE,0.0,2025-01-28 23:30:56.897871,0.0,,1,0.0
Hyperliquid,MAV,0.0,2025-01-28 23:30:56.897873,0.0,,1,0.0
Hyperliquid,WIF,0.0,2025-01-28 23:30:56.897875,0.0,,1,0.0
Hyperliquid,CAKE,0.0,2025-01-28 23:30:56.897877,0.0,,1,0.0
Hyperliquid,PEOPLE,0.0,2025-01-28 23:30:56.897879,0.0,,1,0.0
Hyperliquid,ENS,0.0,2025-01-28 23:30:56.897881,0.0,,1,0.0
Hyperliquid,ETC,0.0,2025-01-28 23:30:56.897883,0.0,,1,0.0
Hyperliquid,XAI,0.0,2025-01-28 23:30:56.897886,0.0,,1,0.0
Hyperliquid,MANTA,0.0,2025-01-28 23:30:56.897888,0.0,,1,0.0
Hyperliquid,UMA,0.0,2025-01-28 23:30:56.897890,0.0,,1,0.0
Hyperliquid,ONDO,0.0,2025-01-28 23:30:56.897892,0.0,,1,0.0
Hyperliquid,ALT,0.0,2025-01-28 23:30:56.897894,0.0,,1,0.0
Hyperliquid,ZETA,0.0,2025-01-28 23:30:56.897896,0.0,,1,0.0
Hyperliquid,DYM,0.0,2025-01-28 23:30:56.897899,0.0,,1,0.0
Hyperliquid,MAVIA,0.0,2025-01-28 23:30:56.897901,0.0,,1,0.0
