exchange,symbol,funding_rate,next_funding_time,mark_price,payment_interval,predicted_rate,annualized_rate
Hyperliquid,YGG,1.25e-05,2025-01-28 23:44:33.069422,0.3218,1,,10.95
Hyperliquid,TRX,1.25e-05,2025-01-28 23:44:33.069424,0.24482,1,,10.95
Hyperliquid,kSHIB,1.25e-05,2025-01-28 23:44:33.069426,0.018749,1,,10.95
Hyperliquid,UNI,1.25e-05,2025-01-28 23:44:33.069427,11.206,1,,10.95
Hyperliquid,SEI,-1.49e-06,2025-01-28 23:44:33.069429,0.3128,1,,-1.30524
Hyperliquid,RUNE,-6.686e-05,2025-01-28 23:44:33.069431,2.1791,1,,-58.56935999999999
Hyperliquid,OX,0.0,2025-01-28 23:44:33.069433,0.007459,1,,0.0
Hyperliquid,FRIEND,0.0,2025-01-28 23:44:33.069435,4.72,1,,0.0
Hyperliquid,SHIA,0.0,2025-01-28 23:44:33.069437,0.000621,1,,0.0
Hyperliquid,CYBER,1.25e-05,2025-01-28 23:44:33.069439,2.4336,1,,10.95
Hyperliquid,ZRO,1.25e-05,2025-01-28 23:44:33.069441,3.667,1,,10.95
Hyperliquid,BLZ,0.0,2025-01-28 23:44:33.069443,0.070043,1,,0.0
Hyperliquid,DOT,1.25e-05,2025-01-28 23:44:33.069445,5.8683,1,,10.95
Hyperliquid,BANANA,1.25e-05,2025-01-28 23:44:33.069447,37.624,1,,10.95
Hyperliquid,TRB,1.25e-05,2025-01-28 23:44:33.069449,46.499,1,,10.95
Hyperliquid,FTT,1.25e-05,2025-01-28 23:44:33.069451,2.0001,1,,10.95
Hyperliquid,LOOM,0.0,2025-01-28 23:44:33.069453,0.071161,1,,0.0
Hyperliquid,OGN,1.25e-05,2025-01-28 23:44:33.069455,0.09207,1,,10.95
Hyperliquid,RDNT,1.38e-06,2025-01-28 23:44:33.069457,0.045184,1,,1.20888
Hyperliquid,ARK,1.25e-05,2025-01-28 23:44:33.069459,0.51485,1,,10.95
Hyperliquid,BNT,1.25e-05,2025-01-28 23:44:33.069461,0.63819,1,,10.95
Hyperliquid,CANTO,0.0,2025-01-28 23:44:33.069463,0.066,1,,0.0
Hyperliquid,REQ,-3.092e-05,2025-01-28 23:44:33.069465,0.11665,1,,-27.08592
Hyperliquid,BIGTIME,1.25e-05,2025-01-28 23:44:33.069467,0.09045,1,,10.95
Hyperliquid,KAS,1.25e-05,2025-01-28 23:44:33.069468,0.1249,1,,10.95
Hyperliquid,ORBS,1.25e-05,2025-01-28 23:44:33.069470,0.026769,1,,10.95
Hyperliquid,BLUR,1.25e-05,2025-01-28 23:44:33.069472,0.18414,1,,10.95
Hyperliquid,TIA,1.25e-05,2025-01-28 23:44:33.069474,4.0121,1,,10.95
Hyperliquid,BSV,1.25e-05,2025-01-28 23:44:33.069476,49.186,1,,10.95
Hyperliquid,ADA,1.25e-05,2025-01-28 23:44:33.069480,0.95212,1,,10.95
Hyperliquid,TON,1.25e-05,2025-01-28 23:44:33.069482,4.9044,1,,10.95
Hyperliquid,MINA,1.25e-05,2025-01-28 23:44:33.069484,0.465,1,,10.95
Hyperliquid,POLYX,1.25e-05,2025-01-28 23:44:33.069486,0.23303,1,,10.95
Hyperliquid,GAS,1.25e-05,2025-01-28 23:44:33.069488,4.653,1,,10.95
Hyperliquid,PENDLE,6.3e-07,2025-01-28 23:44:33.069490,3.4291,1,,0.55188
Hyperliquid,STG,1.25e-05,2025-01-28 23:44:33.069492,0.33242,1,,10.95
Hyperliquid,FET,1.25e-05,2025-01-28 23:44:33.069494,1.034,1,,10.95
Hyperliquid,STRAX,0.0,2025-01-28 23:44:33.069496,1.5829,1,,0.0
Hyperliquid,NEAR,1.25e-05,2025-01-28 23:44:33.069498,4.5182,1,,10.95
Hyperliquid,MEME,1.25e-05,2025-01-28 23:44:33.069499,0.007019,1,,10.95
Hyperliquid,ORDI,1.25e-05,2025-01-28 23:44:33.069501,18.205,1,,10.95
Hyperliquid,BADGER,1.25e-05,2025-01-28 23:44:33.069506,3.8265,1,,10.95
Hyperliquid,NEO,1.25e-05,2025-01-28 23:44:33.069508,13.419,1,,10.95
Hyperliquid,ZEN,1.25e-05,2025-01-28 23:44:33.069509,18.348,1,,10.95
Hyperliquid,FIL,1.25e-05,2025-01-28 23:44:33.069511,4.6001,1,,10.95
Hyperliquid,PYTH,1.25e-05,2025-01-28 23:44:33.069514,0.28451,1,,10.95
Hyperliquid,SUSHI,1.25e-05,2025-01-28 23:44:33.069516,1.2147,1,,10.95
Hyperliquid,ILV,1.25e-05,2025-01-28 23:44:33.069518,29.8,1,,10.95
Hyperliquid,IMX,1.25e-05,2025-01-28 23:44:33.069519,1.133,1,,10.95
Hyperliquid,kBONK,1.25e-05,2025-01-28 23:44:33.069521,0.02566,1,,10.95
Hyperliquid,GMT,-4.09e-06,2025-01-28 23:44:33.069523,0.09545,1,,-3.5828399999999996
Hyperliquid,SUPER,1.25e-05,2025-01-28 23:44:33.069525,0.90568,1,,10.95
Hyperliquid,USTC,-5.59e-05,2025-01-28 23:44:33.069527,0.014705,1,,-48.968399999999995
Hyperliquid,NFTI,0.0,2025-01-28 23:44:33.069529,6.5609,1,,0.0
Hyperliquid,JUP,3.76e-06,2025-01-28 23:44:33.069531,1.2129,1,,3.29376
Hyperliquid,kLUNC,1.25e-05,2025-01-28 23:44:33.069533,0.076282,1,,10.95
Hyperliquid,RSR,1.25e-05,2025-01-28 23:44:33.069535,0.013106,1,,10.95
Hyperliquid,GALA,1.25e-05,2025-01-28 23:44:33.069538,0.029175,1,,10.95
Hyperliquid,JTO,3.41e-06,2025-01-28 23:44:33.069540,2.9839,1,,2.98716
Hyperliquid,NTRN,1.25e-05,2025-01-28 23:44:33.069541,0.27967,1,,10.95
Hyperliquid,ACE,1.25e-05,2025-01-28 23:44:33.069543,1.4502,1,,10.95
Hyperliquid,MAV,1.25e-05,2025-01-28 23:44:33.069545,0.12835,1,,10.95
Hyperliquid,WIF,1.25e-05,2025-01-28 23:44:33.069547,1.0995,1,,10.95
Hyperliquid,CAKE,1.25e-05,2025-01-28 23:44:33.069549,1.9366,1,,10.95
Hyperliquid,PEOPLE,1.25e-05,2025-01-28 23:44:33.069551,0.027426,1,,10.95
Hyperliquid,ENS,1.25e-05,2025-01-28 23:44:33.069553,31.955,1,,10.95
Hyperliquid,ETC,1.25e-05,2025-01-28 23:44:33.069555,25.848,1,,10.95
Hyperliquid,XAI,1.25e-05,2025-01-28 23:44:33.069557,0.16049,1,,10.95
Hyperliquid,MANTA,1.25e-05,2025-01-28 23:44:33.069559,0.59378,1,,10.95
Hyperliquid,UMA,1.25e-05,2025-01-28 23:44:33.069561,2.133,1,,10.95
Hyperliquid,ONDO,1.25e-05,2025-01-28 23:44:33.069563,1.3984,1,,10.95
Hyperliquid,ALT,1.25e-05,2025-01-28 23:44:33.069565,0.069902,1,,10.95
Hyperliquid,ZETA,-3.829e-05,2025-01-28 23:44:33.069567,0.42955,1,,-33.54204
Hyperliquid,DYM,1.25e-05,2025-01-28 23:44:33.069569,0.93193,1,,10.95
Hyperliquid,MAVIA,1.25e-05,2025-01-28 23:44:33.069571,0.54035,1,,10.95
Hyperliquid,W,1.25e-05,2025-01-28 23:44:33.069573,0.2108,1,,10.95
Hyperliquid,PANDORA,0.0,2025-01-28 23:44:33.069576,3026.3,1,,0.0
Hyperliquid,STRK,1.25e-05,2025-01-28 23:44:33.069578,0.34225,1,,10.95
Hyperliquid,PIXEL,9.09e-06,2025-01-28 23:44:33.069580,0.10527,1,,7.962839999999999
Hyperliquid,AI,1.25e-05,2025-01-28 23:44:33.069582,0.47277,1,,10.95
Hyperliquid,TAO,1.25e-05,2025-01-28 23:44:33.069584,457.17,1,,10.95
Hyperliquid,AR,1.25e-05,2025-01-28 23:44:33.069586,13.217,1,,10.95
Hyperliquid,MYRO,1.25e-05,2025-01-28 23:44:33.069588,0.03077,1,,10.95
Hyperliquid,kFLOKI,1.25e-05,2025-01-28 23:44:33.069590,0.1225,1,,10.95
Hyperliquid,BOME,1.25e-05,2025-01-28 23:44:33.069592,0.003296,1,,10.95
Hyperliquid,ETHFI,1.25e-05,2025-01-28 23:44:33.069594,1.5357,1,,10.95
Hyperliquid,ENA,-1.877e-05,2025-01-28 23:44:33.069596,0.72513,1,,-16.442520000000002
Hyperliquid,MNT,-1.613e-05,2025-01-28 23:44:33.069597,1.1095,1,,-14.12988
Hyperliquid,TNSR,1.25e-05,2025-01-28 23:44:33.069599,0.39251,1,,10.95
Hyperliquid,SAGA,1.25e-05,2025-01-28 23:44:33.069601,1.0929,1,,10.95
Hyperliquid,MERL,1.25e-05,2025-01-28 23:44:33.069603,0.13453,1,,10.95
Hyperliquid,HBAR,1.25e-05,2025-01-28 23:44:33.069605,0.31384,1,,10.95
Hyperliquid,POPCAT,-3.69e-06,2025-01-28 23:44:33.069607,0.37096,1,,-3.2324399999999995
Hyperliquid,OMNI,1.25e-05,2025-01-28 23:44:33.069609,7.0722,1,,10.95
Hyperliquid,EIGEN,1.25e-05,2025-01-28 23:44:33.069611,2.6366,1,,10.95
Hyperliquid,REZ,9.05e-06,2025-01-28 23:44:33.069613,0.024015,1,,7.9278
Hyperliquid,NOT,1.25e-05,2025-01-28 23:44:33.069615,0.00437,1,,10.95
Hyperliquid,TURBO,1.25e-05,2025-01-28 23:44:33.069617,0.005221,1,,10.95
Hyperliquid,BRETT,1.25e-05,2025-01-28 23:44:33.069619,0.07982,1,,10.95
Hyperliquid,IO,-9.057e-05,2025-01-28 23:44:33.069621,2.9243,1,,-79.33931999999999
Hyperliquid,ZK,1.25e-05,2025-01-28 23:44:33.069623,0.13766,1,,10.95
Hyperliquid,BLAST,1.25e-05,2025-01-28 23:44:33.069625,0.005749,1,,10.95
Hyperliquid,LISTA,1.25e-05,2025-01-28 23:44:33.069627,0.25954,1,,10.95
Hyperliquid,MEW,-3.419e-05,2025-01-28 23:44:33.069629,0.004365,1,,-29.95044
Hyperliquid,RENDER,1.25e-05,2025-01-28 23:44:33.069631,5.9668,1,,10.95
Hyperliquid,kDOGS,4.48e-06,2025-01-28 23:44:33.069633,0.28238,1,,3.9244800000000004
Hyperliquid,POL,1.25e-05,2025-01-28 23:44:33.069635,0.4081,1,,10.95
Hyperliquid,CATI,1.25e-05,2025-01-28 23:44:33.069637,0.23271,1,,10.95
Hyperliquid,CELO,-2.225e-05,2025-01-28 23:44:33.069638,0.53786,1,,-19.491
Hyperliquid,HMSTR,1.25e-05,2025-01-28 23:44:33.069640,0.002592,1,,10.95
Hyperliquid,SCR,1.25e-05,2025-01-28 23:44:33.069642,0.657,1,,10.95
Hyperliquid,NEIROETH,1.25e-05,2025-01-28 23:44:33.069644,0.022545,1,,10.95
Hyperliquid,kNEIRO,1.25e-05,2025-01-28 23:44:33.069646,0.48368,1,,10.95
Hyperliquid,GOAT,3.62e-05,2025-01-28 23:44:33.069648,0.20594,1,,31.7112
Hyperliquid,MOODENG,1.25e-05,2025-01-28 23:44:33.069650,0.11122,1,,10.95
Hyperliquid,GRASS,1.25e-05,2025-01-28 23:44:33.069652,1.7863,1,,10.95
Hyperliquid,PURR,1.25e-05,2025-01-28 23:44:33.069654,0.19609,1,,10.95
Hyperliquid,PNUT,1.25e-05,2025-01-28 23:44:33.069656,0.25639,1,,10.95
Hyperliquid,XLM,1.25e-05,2025-01-28 23:44:33.069658,0.41125,1,,10.95
Hyperliquid,CHILLGUY,1.25e-05,2025-01-28 23:44:33.069660,0.057335,1,,10.95
Hyperliquid,SAND,1.25e-05,2025-01-28 23:44:33.069662,0.52037,1,,10.95
Hyperliquid,IOTA,1.25e-05,2025-01-28 23:44:33.069664,0.29906,1,,10.95
Hyperliquid,ALGO,1.25e-05,2025-01-28 23:44:33.069666,0.37766,1,,10.95
Hyperliquid,HYPE,1.25e-05,2025-01-28 23:44:33.069668,23.277,1,,10.95
Hyperliquid,ME,1.25e-05,2025-01-28 23:44:33.069670,1.9015,1,,10.95
